COD_DANE_A,Residential buildings (TVIVIENDA),Residential Occupied&Used (TP15_1_OCU),Residential Occupied&Empty (TP15_2_OCU),Residential Temporary (TP15_3_OCU),Residential Empty (TP15_4_OCU),Households (TP16_HOG),Residential Electricity Y (TP19_EE_1),Residential Electricity N (TP19_EE_2)
0504510000000000040511,57,54,0,0,3,54,54,0
0504510000000000040506,33,31,1,0,1,38,31,0
0504510000000000040505,45,42,0,1,2,42,41,1
0504510000000000040508,32,28,3,1,0,28,28,0
0504510000000000040507,43,34,3,1,5,34,34,0
0504510000000000040320,0,0,0,0,0,0,0,0
0504510000000000040319,0,0,0,0,0,0,0,0
0504510000000000040401,0,0,0,0,0,0,0,0
0504510000000000040321,0,0,0,0,0,0,0,0
0504510000000000040314,52,47,3,0,2,48,47,0
0504510000000000040313,40,37,0,0,3,37,37,0
0504510000000000040318,37,30,6,0,1,33,30,0
0504510000000000040315,33,29,0,2,2,29,29,0
0504510000000000040407,35,31,0,1,3,33,31,0
0504510000000000040406,31,31,0,0,0,31,31,0
0504510000000000040409,44,43,0,1,0,47,43,0
0504510000000000040408,38,37,0,0,1,37,37,0
0504510000000000040403,19,17,0,0,2,17,17,0
0504510000000000040402,4,4,0,0,0,4,4,0
0504510000000000040405,49,40,6,0,3,40,40,0
0504510000000000040404,29,27,1,0,1,27,27,0
0504510000000000040302,0,0,0,0,0,0,0,0
0504510000000000040301,31,27,1,0,3,28,27,0
0504510000000000040304,0,0,0,0,0,0,0,0
0504510000000000040303,35,32,1,0,2,35,32,0
0504510000000000040216,20,18,0,0,2,21,18,0
0504510000000000040215,32,32,0,0,0,32,32,0
0504510000000000040218,37,34,0,0,3,41,34,0
0504510000000000040217,41,38,0,0,3,39,38,0
0504510000000000040310,44,31,9,0,4,39,30,1
0504510000000000040309,40,37,3,0,0,41,37,0
0504510000000000040312,0,0,0,0,0,0,0,0
0504510000000000040311,0,0,0,0,0,0,0,0
0504510000000000040306,43,39,0,0,4,45,39,0
0504510000000000040305,39,33,2,0,4,34,33,0
0504510000000000040308,35,33,1,1,0,34,33,0
0504510000000000040307,33,27,3,0,3,30,27,0
0504510000000000040204,26,24,0,0,2,30,24,0
0504510000000000040203,39,34,4,0,1,37,34,0
0504510000000000040206,28,25,1,0,2,27,25,0
0504510000000000040205,39,37,1,0,1,46,37,0
0504510000000000040139,28,21,6,0,1,21,21,0
0504510000000000040138,23,21,0,0,2,22,21,0
0504510000000000040202,36,34,0,0,2,34,34,0
0504510000000000040201,39,37,0,0,2,39,37,0
0504510000000000040212,22,22,0,0,0,22,22,0
0504510000000000040211,35,32,0,0,3,33,32,0
0504510000000000040214,35,31,0,0,4,31,31,0
0504510000000000040213,29,29,0,0,0,29,29,0
0504510000000000040208,47,45,0,1,1,48,45,0
0504510000000000040207,28,25,1,0,2,29,25,0
0504510000000000040210,40,36,1,1,2,40,36,0
0504510000000000040209,50,45,1,0,4,45,45,0
0504510000000000040120,24,24,0,0,0,24,24,0
0504510000000000040119,30,29,0,0,1,29,29,0
0504510000000000040122,25,25,0,0,0,25,25,0
0504510000000000040121,23,21,0,0,2,27,21,0
0504510000000000040116,30,29,0,0,1,34,29,0
0504510000000000040115,35,35,0,0,0,35,35,0
0504510000000000040118,36,34,0,0,2,52,34,0
0504510000000000040117,29,25,1,0,3,34,25,0
0504510000000000040135,24,23,1,0,0,23,23,0
0504510000000000040134,23,20,2,0,1,20,20,0
0504510000000000040137,21,17,2,1,1,17,17,0
0504510000000000040136,22,18,2,0,2,19,18,0
0504510000000000040131,23,21,0,0,2,25,21,0
0504510000000000040130,24,23,1,0,0,25,23,0
0504510000000000040133,28,27,0,0,1,27,27,0
0504510000000000040132,22,20,1,0,1,22,20,0
0504510000000000030611,39,31,3,2,3,31,31,0
0504510000000000030610,32,32,0,0,0,34,32,0
0504510000000000030613,0,0,0,0,0,0,0,0
0504510000000000030612,36,32,0,0,4,36,32,0
0504510000000000030607,36,33,0,1,2,33,33,0
0504510000000000030606,27,24,0,1,2,28,24,0
0504510000000000030609,1,0,1,0,0,0,0,0
0504510000000000030608,28,26,1,0,1,29,26,0
0504510000000000030619,43,37,2,0,4,39,34,3
0504510000000000030618,24,24,0,0,0,24,24,0
0504510000000000040102,29,28,0,0,1,29,28,0
0504510000000000030620,21,20,0,0,1,22,20,0
0504510000000000030615,19,18,1,0,0,19,18,0
0504510000000000030614,0,0,0,0,0,0,0,0
0504510000000000030617,29,28,0,0,1,30,28,0
0504510000000000030616,20,17,0,0,3,18,17,0
0504510000000000030527,8,8,0,0,0,8,8,0
0504510000000000030526,9,9,0,0,0,9,9,0
0504510000000000030529,18,13,1,1,3,13,13,0
0504510000000000030528,6,6,0,0,0,6,5,1
0504510000000000030523,28,26,0,0,2,27,26,0
0504510000000000030522,47,44,0,1,2,48,44,0
0504510000000000030525,14,14,0,0,0,14,14,0
0504510000000000030524,32,31,0,0,1,31,31,0
0504510000000000030603,34,30,0,1,3,30,30,0
0504510000000000030602,33,30,0,1,2,31,30,0
0504510000000000030605,33,30,0,0,3,31,30,0
0504510000000000030604,43,39,1,1,2,39,39,0
0504510000000000030531,0,0,0,0,0,0,0,0
0504510000000000030530,10,9,0,0,1,9,9,0
0504510000000000030601,31,27,0,1,3,28,27,0
0504510000000000030532,0,0,0,0,0,0,0,0
0504510000000000030507,18,18,0,0,0,18,18,0
0504510000000000030506,53,49,0,0,4,50,49,0
0504510000000000030511,15,15,0,0,0,19,15,0
0504510000000000030509,40,38,0,0,2,40,38,0
0504510000000000030503,47,44,0,0,3,45,44,0
0504510000000000030502,36,30,0,1,5,31,30,0
0504510000000000030505,78,73,1,2,2,77,73,0
0504510000000000030504,46,45,0,0,1,45,45,0
0504510000000000030519,29,22,0,1,6,23,22,0
0504510000000000030518,22,16,3,0,3,16,16,0
0504510000000000030521,19,16,2,0,1,17,16,0
0504510000000000030520,64,57,1,2,4,59,57,0
0504510000000000030515,23,19,1,0,3,20,19,0
0504510000000000030514,37,34,0,0,3,36,34,0
0504510000000000030517,29,25,2,1,1,25,25,0
0504510000000000030516,20,19,0,0,1,19,19,0
0504510000000000030409,48,48,0,0,0,48,48,0
0504510000000000030408,46,43,2,0,1,50,43,0
0504510000000000030411,43,43,0,0,0,44,43,0
0504510000000000030410,54,51,0,0,3,58,51,0
0504510000000000030405,22,22,0,0,0,23,21,1
0504510000000000030404,40,39,0,0,1,40,39,0
0504510000000000030407,55,50,1,0,4,50,50,0
0504510000000000030406,22,22,0,0,0,22,22,0
0504510000000000030417,48,46,0,0,2,46,46,0
0504510000000000030416,55,53,1,1,0,53,53,0
0504510000000000030419,21,19,0,0,2,20,18,1
0504510000000000030418,10,9,0,0,1,9,9,0
0504510000000000030413,57,57,0,0,0,57,57,0
0504510000000000030412,55,51,0,0,4,51,51,0
0504510000000000030415,59,55,3,0,1,57,55,0
0504510000000000030414,60,60,0,0,0,60,60,0
0504510000000000030316,25,24,0,0,1,24,24,0
